Year,Type_of_disability,SEX,AGE,UNIT_MEASURE,Value
2013,remembering_or_concentration,_F,0-14,NUMBER,77
2013,self_care,_F,0-14,NUMBER,60
2013,Communication,_F,0-14,NUMBER,103
2013,multiple_disabilities,_F,0-14,NUMBER,749
2013,Seeing,_F,15-19,NUMBER,432
2013,Hearing,_F,15-19,NUMBER,90
2013,walking_or_climbing_up_the_stairs,_F,15-19,NUMBER,210
2013,remembering_or_concentration,_F,15-19,NUMBER,34
2013,self_care,_F,15-19,NUMBER,13
2013,Communication,_F,15-19,NUMBER,37
2013,multiple_disabilities,_F,15-19,NUMBER,429
2013,Seeing,_F,20-29,NUMBER,843
2013,Hearing,_F,20-29,NUMBER,147
2013,walking_or_climbing_up_the_stairs,_F,20-29,NUMBER,467
2013,remembering_or_concentration,_F,20-29,NUMBER,124
2013,self_care,_F,20-29,NUMBER,28
2013,Communication,_F,20-29,NUMBER,75
2013,multiple_disabilities,_F,20-29,NUMBER,893
2013,Seeing,_F,30-49,NUMBER,3528
2013,Hearing,_F,30-49,NUMBER,738
2013,walking_or_climbing_up_the_stairs,_F,30-49,NUMBER,4950
2013,remembering_or_concentration,_F,30-49,NUMBER,849
2013,self_care,_F,30-49,NUMBER,103
2013,Communication,_F,30-49,NUMBER,241
2013,multiple_disabilities,_F,30-49,NUMBER,4025
2013,Seeing,_F,50-59,NUMBER,6782
2013,Hearing,_F,50-59,NUMBER,1216
2013,walking_or_climbing_up_the_stairs,_F,50-59,NUMBER,9927
2013,remembering_or_concentration,_F,50-59,NUMBER,865
2013,self_care,_F,50-59,NUMBER,80
2013,Communication,_F,50-59,NUMBER,150
2013,multiple_disabilities,_F,50-59,NUMBER,7822
2013,Seeing,_F,60-64,NUMBER,4034
2013,Hearing,_F,60-64,NUMBER,857
2013,walking_or_climbing_up_the_stairs,_F,60-64,NUMBER,7055
2013,remembering_or_concentration,_F,60-64,NUMBER,430
2013,self_care,_F,60-64,NUMBER,43
2013,Communication,_F,60-64,NUMBER,61
2013,multiple_disabilities,_F,60-64,NUMBER,5922
2013,Seeing,_F,65+,NUMBER,12600
2013,Hearing,_F,65+,NUMBER,5885
2013,walking_or_climbing_up_the_stairs,_F,65+,NUMBER,30877
2013,remembering_or_concentration,_F,65+,NUMBER,1744
2013,self_care,_F,65+,NUMBER,321
2013,Communication,_F,65+,NUMBER,226
2013,multiple_disabilities,_F,65+,NUMBER,44011
